ID1,ID2,
TRUE,None,5025049
TRUE,None,5025087
TRUE,None,5025705
TRUE,None,5026144
TRUE,None,5044963
TRUE,None,5045552
TRUE,None,5054619
TRUE,None,5056890
TRUE,None,5057036
TRUE,None,5057834
TRUE,None,5057857
TRUE,None,5057870
TRUE,None,5057879
TRUE,None,5057889
TRUE,None,5057919
TRUE,None,5057932
TRUE,None,5058023
None,TRUE,5067195
None,TRUE,5067300
None,TRUE,5067644
None,TRUE,5067761
None,TRUE,5068340
None,TRUE,5068413
None,TRUE,5068437
None,TRUE,5068443
None,TRUE,5068743
None,TRUE,5069470
None,TRUE,5069807
None,TRUE,5069846
None,TRUE,5069888
None,TRUE,5069936
None,TRUE,5069941
None,TRUE,5070319
None,TRUE,5070333
None,TRUE,5070604
None,TRUE,5071098
None,TRUE,5071347
None,TRUE,5071375
None,TRUE,5071407
None,TRUE,5071408
None,TRUE,5071439
None,TRUE,5071444
None,TRUE,5071452
None,TRUE,5071455
None,TRUE,5071461
None,TRUE,5071465
None,TRUE,5071469
None,TRUE,5071471
None,TRUE,5071472
None,TRUE,5071474
None,TRUE,5071496
None,TRUE,5071500
None,TRUE,5071509
None,TRUE,5072436
None,TRUE,5072608
None,TRUE,5072649
None,TRUE,5072662
None,TRUE,5072667
None,TRUE,5072682
None,TRUE,5072706
None,TRUE,5072712
None,TRUE,5072714
None,TRUE,5072727
None,TRUE,5072729
None,TRUE,5072740
None,TRUE,5074014
None,TRUE,5074109
None,TRUE,5074118
None,TRUE,5074149
None,TRUE,5074150
None,TRUE,5074173
None,TRUE,5074197
None,TRUE,5074202
None,TRUE,5074238
TRUE,None,5074884
TRUE,None,5075118
TRUE,None,5079417
TRUE,None,5080057
TRUE,None,5081209
None,TRUE,5082601
TRUE,None,5083647
TRUE,None,5084094
TRUE,None,5084473
TRUE,None,5084647
TRUE,None,5084761
TRUE,None,5085465
TRUE,None,5086397
TRUE,None,5087015
TRUE,None,5087276
None,TRUE,5088216
None,TRUE,5088220
None,TRUE,5088299
None,TRUE,5088334
None,TRUE,5088362
None,TRUE,5088368
None,TRUE,5088444
None,TRUE,5088445
None,TRUE,5088448
None,TRUE,5088450
None,TRUE,5088459
None,TRUE,5088479
TRUE,None,5088567
None,TRUE,5088574
None,TRUE,5088601
None,TRUE,5088605
None,TRUE,5088648
None,TRUE,5088655
None,TRUE,5088666
None,TRUE,5088700
None,TRUE,5088723
TRUE,None,5088787
None,TRUE,5088812
None,TRUE,5088827
None,TRUE,5088830
TRUE,None,5088900
TRUE,None,5088926
None,TRUE,5088934
TRUE,None,5088996
None,TRUE,5089004
TRUE,None,5089007
None,TRUE,5089027
None,TRUE,5089031
None,TRUE,5089050
None,TRUE,5089060
TRUE,None,5089063
None,TRUE,5089065
None,TRUE,5089069
None,TRUE,5089070
None,TRUE,5089071
None,TRUE,5089074
None,TRUE,5089075
None,TRUE,5089079
None,TRUE,5089080
None,TRUE,5089081
None,TRUE,5089092
None,TRUE,5089094
TRUE,None,5089098
None,TRUE,5089099
None,TRUE,5089112
None,TRUE,5089113
None,TRUE,5089130
None,TRUE,5089169
TRUE,None,5089171
TRUE,None,5089217
TRUE,None,5089223
TRUE,None,5089227
TRUE,None,5089232
TRUE,None,5089234
TRUE,None,5089237
TRUE,None,5089240
TRUE,None,5089245
TRUE,None,5089249
TRUE,None,5089250
TRUE,None,5089251
TRUE,None,5089254
TRUE,None,5089256
TRUE,None,5089257
TRUE,None,5089266
TRUE,None,5089269
TRUE,None,5089270
TRUE,None,5089271
TRUE,None,5089278
TRUE,None,5089279
TRUE,None,5089284
TRUE,None,5089292
TRUE,None,5089300
TRUE,None,5089309
TRUE,None,5089313
TRUE,None,5089314
TRUE,None,5089315
TRUE,None,5089317
TRUE,None,5089321
TRUE,None,5089332
TRUE,None,5089333
TRUE,None,5089334
TRUE,None,5089335
TRUE,None,5089336
TRUE,None,5089338
TRUE,None,5089348
TRUE,None,5089351
TRUE,None,5089353
TRUE,None,5089354
TRUE,None,5089356
TRUE,None,5089358
TRUE,None,5089364
None,TRUE,5089373
None,TRUE,5089375
None,TRUE,5089376
None,TRUE,5089377
None,TRUE,5089388
None,TRUE,5089389
None,TRUE,5089391
